Department;GEO;Role;Willing to relocate;Percent remote;Last evaluation;Number of projects;Average montly hours;Years in the company;Work accidents;Left company;Promotion in the last 5 years;Salary;Gender;LinkedIn hits
Human Resources;France;Level 2-4;1;0.4;0.38;5;175;4;0;0;0;high;M;8
IT;Colombia;Level 2-4;0;0.4;0.38;5;171;6;1;0;1;high;F;58
Warehouse;Korea;Level 2-4;1;0.4;0.38;3;197;2;0;0;0;medium;F;14
Operations;US;Level 2-4;1;0.4;0.38;4;135;2;0;0;0;high;M;47
Sales;Colombia;Level 2-4;0;0.4;0.38;3;275;5;0;0;0;low;F;14
Finance;France;Level 2-4;1;0.4;0.38;6;140;3;0;0;0;high;M;18
Human Resources;Japan;Level 2-4;0;0.4;0.38;4;140;6;0;0;0;medium;M;4
IT;Korea;Level 2-4;1;0.4;0.38;3;215;6;0;0;0;low;M;65
Warehouse;UK;Level 2-4;1;0.4;0.38;2;115;3;0;0;0;medium;M;10
Operations;UK;Level 2-4;0;0.4;0.38;2;103;3;0;0;0;low;M;42
Sales;Korea;Level 2-4;0;0.4;0.38;4;186;3;0;0;0;medium;F;31
Finance;Turkey;Level 2-4;1;0.4;0.38;6;109;2;0;0;0;medium;M;63
Human Resources;China;Level 2-4;1;0.4;0.38;6;212;6;0;0;0;high;M;51
IT;France;Level 2-4;1;0.4;0.38;6;105;5;0;0;0;low;M;54
Warehouse;Colombia;Level 2-4;1;0.4;0.38;4;270;2;0;0;0;low;M;23
Operations;UK;Level 2-4;1;0.4;0.38;2;268;3;0;0;0;low;M;10
Sales;Colombia;Level 2-4;1;0.4;0.38;2;139;4;0;0;0;medium;M;9
Finance;Korea;Level 2-4;0;0.4;0.38;4;145;5;0;0;0;medium;M;46
Human Resources;Korea;Level 2-4;0;0.4;0.38;5;279;5;0;0;0;low;F;51
IT;Japan;Level 2-4;1;0.4;0.38;2;278;3;1;0;0;low;M;49
Warehouse;China;Level 1;0;0.4;0.38;2;269;5;0;0;0;low;M;45
Operations;Korea;Level 1;1;0.4;0.38;4;128;2;0;0;0;low;M;62
Sales;Turkey;Level 1;1;0.4;0.38;3;173;2;0;0;0;low;M;45
Finance;Japan;Level 1;1;0.4;0.38;3;132;4;0;0;0;medium;M;31
Human Resources;UK;Level 1;1;0.4;0.38;2;103;3;0;0;0;medium;F;18
IT;Japan;Level 1;0;0.4;0.38;4;203;5;0;0;0;low;F;43
Warehouse;France;Level 1;0;0.4;0.38;5;191;5;0;0;0;medium;F;6
Operations;China;Level 1;0;0.4;0.38;5;122;4;0;0;0;low;M;38
Sales;China;Level 1;1;0.4;0.38;3;119;2;0;0;0;low;M;20
Finance;China;Level 1;1;0.4;0.38;5;211;7;1;0;0;medium;M;31
Human Resources;US;Level 1;1;0.4;0.38;4;142;10;1;0;0;low;M;38
IT;France;Level 1;1;0.4;0.38;5;115;6;1;0;0;high;F;47
Warehouse;US;Level 1;0;0.4;0.38;2;103;3;0;0;0;medium;F;15
Operations;China;Level 1;0;0.4;0.38;4;203;5;0;0;0;low;F;22
Sales;UK;Level 1;1;0.4;0.38;5;191;5;0;0;0;medium;M;31
Finance;Australia;Level 1;0;0.4;0.38;5;122;4;0;0;0;low;F;5
Human Resources;Australia;Level 1;1;0.4;0.38;3;119;2;0;0;0;low;F;51
IT;France;Level 1;0;0.4;0.38;5;211;7;1;0;0;medium;F;59
Warehouse;Colombia;Level 1;1;0.4;0.38;4;142;10;1;0;0;low;F;33
Operations;Korea;Level 1;0;0.4;0.38;5;115;6;1;0;0;high;F;33
Sales;UK;Level 1;1;0.4;0.39;2;136;3;0;0;0;medium;M;1
Finance;Colombia;Level 1;1;0.4;0.39;5;198;5;0;0;0;medium;M;8
Human Resources;Turkey;Level 1;1;0.4;0.39;3;99;2;0;0;0;low;M;46
IT;UK;Level 1;1;0.4;0.39;6;214;5;1;0;0;low;M;27
Warehouse;US;Level 1;1;0.4;0.39;4;272;3;0;0;0;low;F;64
Operations;Colombia;Level 1;1;0.4;0.39;2;167;3;0;0;0;medium;M;24
Sales;Turkey;Level 1;1;0.4;0.39;3;149;3;0;0;0;low;M;65
Finance;Australia;Level 1;0;0.4;0.39;4;275;3;0;0;0;medium;M;15
Human Resources;China;Level 1;0;0.4;0.39;3;261;3;0;0;0;medium;F;57
IT;Colombia;Level 1;1;0.4;0.39;4;239;4;0;0;0;low;F;13
Warehouse;Australia;VP;0;0.4;0.39;5;263;4;0;0;0;medium;M;53
Operations;Colombia;Senior Director;1;0.4;0.39;3;193;6;0;0;0;medium;F;45
Sales;US;Senior Director;1;0.4;0.39;2;210;5;0;0;0;low;F;34
Finance;Australia;Senior Director;0;0.4;0.39;6;190;3;1;0;0;medium;F;13
Human Resources;UK;Director;1;0.4;0.39;4;190;5;0;0;0;medium;M;10
IT;Colombia;Director;0;0.4;0.39;5;111;5;0;0;0;low;F;33
Warehouse;Colombia;Director;0;0.4;0.39;2;177;6;0;0;0;medium;M;18
Operations;France;Director;0;0.4;0.39;4;193;4;0;0;0;medium;M;4
Sales;UK;Director;1;0.4;0.39;5;229;4;0;0;0;low;M;60
Finance;Australia;Director;1;0.4;0.39;3;99;4;0;0;0;medium;F;22
Human Resources;China;Senior Manager;0;0.4;0.39;5;158;4;1;0;0;medium;F;64
IT;Colombia;Senior Manager;0;0.4;0.39;2;188;3;0;0;0;low;M;7
Warehouse;Korea;Senior Manager;0;0.4;0.39;2;145;3;0;0;0;medium;F;51
Operations;Japan;Senior Manager;0;0.4;0.39;5;161;4;0;0;0;low;F;61
Sales;Australia;Senior Manager;0;0.4;0.39;3;175;3;0;0;0;medium;M;39
Finance;US;Senior Manager;0;0.4;0.39;3;193;3;1;0;0;low;M;57
Human Resources;Japan;Senior Manager;1;0.4;0.39;2;235;6;0;0;0;low;F;41
IT;Korea;Senior Manager;0;0.4;0.39;3;98;3;1;0;0;low;M;47
Warehouse;Korea;Senior Manager;0;0.4;0.39;6;246;4;0;0;0;medium;M;49
Operations;US;Senior Manager;0;0.4;0.39;2;118;4;0;0;0;medium;M;37
Sales;China;Senior Manager;1;0.4;0.39;6;285;4;0;0;0;low;F;5
Finance;Turkey;Senior Manager;0;0.4;0.39;3;98;3;0;0;0;low;M;48
Human Resources;UK;Manager;0;0.4;0.39;4;152;5;0;0;0;high;M;17
IT;UK;Manager;0;0.4;0.39;6;215;5;0;0;0;medium;F;28
Warehouse;Japan;Manager;1;0.4;0.39;5;158;2;0;0;0;medium;F;39
Operations;China;Manager;0;0.4;0.39;2;131;2;0;0;0;high;M;42
Sales;Korea;Manager;1;0.4;0.39;3;257;3;0;0;0;low;M;38
Finance;Colombia;Manager;0;0.4;0.39;6;132;5;0;0;0;medium;M;19
Human Resources;France;Manager;1;0.4;0.39;5;200;4;0;0;0;medium;F;28
IT;Colombia;Manager;1;0.4;0.39;5;218;2;0;0;0;low;F;26
Warehouse;Turkey;Manager;1;0.4;0.39;6;105;6;0;0;0;medium;F;11
Operations;US;Manager;0;0.4;0.39;4;132;3;0;0;0;high;M;42
Sales;Turkey;Manager;1;0.4;0.39;5;132;6;1;0;1;low;M;63
Finance;Australia;Manager;0;0.4;0.39;3;106;8;0;0;0;high;F;40
Human Resources;China;Manager;1;0.4;0.39;2;207;7;0;0;0;medium;M;61
IT;Korea;Manager;0;0.4;0.39;5;200;4;0;0;0;medium;M;59
Warehouse;Korea;Manager;1;0.4;0.39;5;218;2;0;0;0;low;M;65
Operations;Korea;Manager;0;0.4;0.39;6;105;6;0;0;0;medium;M;8
Sales;Turkey;Manager;0;0.4;0.39;4;132;3;0;0;0;high;M;38
Finance;US;Manager;1;0.4;0.39;5;132;6;1;0;1;low;F;39
Human Resources;Australia;Manager;0;0.4;0.39;3;106;8;0;0;0;high;M;26
IT;Korea;Manager;0;0.4;0.39;2;207;7;0;0;0;medium;F;37
Warehouse;Japan;Manager;0;0.4;0.4;4;212;2;1;0;0;low;F;12
Operations;Australia;Manager;0;0.4;0.4;4;258;4;1;0;0;medium;F;59
Sales;US;Level 2-4;0;0.4;0.4;2;141;2;0;0;0;low;M;41
Finance;US;Level 2-4;0;0.4;0.4;2;194;2;0;0;0;low;F;10
Human Resources;UK;Level 2-4;1;0.4;0.4;2;122;5;0;0;0;low;F;32
IT;UK;Level 2-4;0;0.4;0.4;3;120;6;0;0;0;low;M;28
Warehouse;Colombia;Level 2-4;0;0.4;0.4;5;286;4;0;0;0;low;F;27
Operations;Colombia;Level 2-4;1;0.4;0.4;2;155;5;1;0;0;medium;F;12
Sales;France;Level 2-4;1;0.4;0.4;6;177;2;1;0;0;medium;F;11
Finance;Turkey;Level 2-4;1;0.4;0.4;4;161;2;0;0;0;low;M;38
Human Resources;Japan;Level 2-4;1;0.4;0.4;6;174;3;0;0;0;medium;F;34
IT;Korea;Level 2-4;1;0.4;0.4;4;286;3;0;0;0;low;F;48
Warehouse;China;Level 2-4;1;0.4;0.4;3;248;3;0;0;0;medium;F;32
Operations;Australia;Level 2-4;0;0.4;0.4;3;180;4;0;0;0;medium;F;10
Sales;US;Level 2-4;0;0.4;0.4;2;245;5;0;0;0;medium;F;29
Finance;US;Level 2-4;0;0.4;0.4;6;162;5;0;0;0;low;M;24
Human Resources;Korea;Level 2-4;1;0.4;0.4;2;255;3;0;0;0;medium;F;63
IT;Japan;Level 2-4;0;0.4;0.4;3;160;2;0;0;0;low;F;64
Warehouse;China;Level 2-4;0;0.4;0.4;6;110;4;1;0;0;low;M;45
Operations;China;Level 2-4;1;0.4;0.4;2;277;2;0;0;0;medium;M;19
Sales;Korea;Level 2-4;0;0.4;0.4;4;114;4;1;0;0;low;F;3
Finance;Korea;Level 2-4;1;0.4;0.4;3;262;3;0;0;0;low;F;38
Human Resources;Colombia;Level 2-4;1;0.4;0.4;5;199;4;1;0;0;high;M;65
IT;Turkey;Level 2-4;0;0.4;0.4;3;160;3;0;0;0;medium;F;35
Warehouse;Korea;Level 2-4;0;0.4;0.4;5;212;3;1;0;0;medium;M;14
Operations;France;Level 2-4;1;0.4;0.4;2;105;3;0;0;0;low;M;31
Sales;US;Level 2-4;0;0.4;0.4;3;130;3;0;0;0;low;M;62
Finance;China;Level 2-4;1;0.4;0.4;6;214;6;0;0;0;medium;F;57
Human Resources;Colombia;Level 2-4;0;0.4;0.4;6;205;3;0;0;0;medium;F;54
IT;Colombia;Level 2-4;0;0.4;0.4;3;146;4;1;0;0;low;F;54
Warehouse;Colombia;Level 2-4;1;0.4;0.4;4;246;3;0;0;0;low;F;13
Operations;Australia;Level 2-4;1;0.4;0.4;3;236;5;0;0;0;medium;M;52
Sales;Turkey;Level 2-4;1;0.4;0.4;4;207;5;0;0;0;low;F;39
Finance;Turkey;Level 2-4;1;0.4;0.4;3;145;2;0;0;0;medium;F;45
Human Resources;US;Level 2-4;1;0.4;0.4;3;113;3;0;0;0;high;F;21
IT;France;Level 2-4;0;0.4;0.4;4;138;4;0;0;0;low;F;35
Warehouse;France;Level 2-4;1;0.4;0.4;2;108;2;0;0;0;medium;M;18
Operations;US;Level 2-4;1;0.4;0.4;5;219;4;0;0;0;medium;F;39
Sales;Colombia;Level 2-4;0;0.4;0.4;2;132;3;0;0;0;low;M;46
Finance;US;Level 2-4;1;0.4;0.4;2;238;3;0;0;0;low;F;24
Human Resources;Colombia;Level 2-4;1;0.4;0.4;6;153;3;0;0;0;low;F;50
IT;Korea;Level 2-4;0;0.4;0.4;4;145;5;1;0;1;medium;M;9
Warehouse;US;Level 2-4;1;0.4;0.4;3;139;8;0;0;1;medium;M;16
Operations;Australia;Level 2-4;0;0.4;0.4;3;158;3;0;0;0;low;F;21
Sales;Japan;Level 2-4;0;0.4;0.4;4;274;3;0;0;0;low;M;37
Finance;Colombia;Level 2-4;0;0.4;0.4;3;213;5;1;0;1;low;F;39
Human Resources;Turkey;Level 2-4;1;0.4;0.4;3;158;8;1;0;0;low;F;58
IT;France;Level 2-4;0;0.4;0.4;5;125;4;0;0;0;low;F;17
Warehouse;Australia;Level 2-4;0;0.4;0.4;2;148;2;1;0;1;high;F;14
Operations;Japan;Level 2-4;0;0.4;0.4;4;145;5;1;0;1;medium;F;39
Sales;Turkey;Level 2-4;1;0.4;0.4;3;139;8;0;0;1;medium;M;13
Finance;US;Level 2-4;1;0.4;0.4;3;158;3;0;0;0;low;F;60
Human Resources;Japan;Level 2-4;0;0.4;0.4;4;274;3;0;0;0;low;M;12
IT;China;Level 2-4;0;0.4;0.4;3;213;5;1;0;1;low;M;54
Warehouse;Colombia;Level 2-4;1;0.4;0.4;3;158;8;1;0;0;low;M;43
Operations;UK;Level 2-4;0;0.4;0.4;5;125;4;0;0;0;low;F;55
Sales;China;Level 2-4;1;0.4;0.4;2;148;2;1;0;1;high;F;34
Finance;Australia;Level 2-4;1;0.4;0.41;4;174;3;0;0;0;low;M;25
Human Resources;Turkey;Level 2-4;1;0.4;0.41;3;138;3;0;0;0;low;F;15
IT;Australia;Level 2-4;0;0.4;0.41;3;133;6;1;0;0;low;M;36
Warehouse;US;Level 2-4;1;0.4;0.41;6;106;5;0;0;0;medium;M;28
Operations;Turkey;Level 2-4;1;0.4;0.41;4;254;5;0;0;0;low;F;33
Sales;Turkey;Level 2-4;0;0.4;0.41;2;231;6;1;0;0;medium;F;56
Finance;US;Level 2-4;0;0.4;0.41;4;250;4;0;0;0;low;M;35
Human Resources;Colombia;Level 2-4;1;0.4;0.41;6;255;6;1;0;0;medium;F;45
IT;France;Level 1;0;0.4;0.41;6;185;4;0;0;0;medium;F;47
Warehouse;US;Level 1;0;0.4;0.41;3;106;6;0;0;0;low;M;64
Operations;China;Level 1;0;0.4;0.41;4;132;5;1;0;0;medium;F;39
Sales;Turkey;Level 1;1;0.4;0.41;3;157;2;0;0;0;low;F;6
Finance;Colombia;Level 1;0;0.4;0.41;4;232;3;1;0;0;medium;F;51
Human Resources;Colombia;Level 1;0;0.4;0.41;3;188;4;0;0;0;high;M;47
IT;Colombia;Level 1;1;0.4;0.41;6;115;3;0;0;0;low;M;10
Warehouse;Japan;Level 1;1;0.4;0.41;4;190;3;0;0;0;medium;M;50
Operations;France;Level 1;1;0.4;0.41;2;141;3;0;0;0;medium;F;19
Sales;China;Level 1;1;0.4;0.41;2;263;3;0;0;0;medium;F;31
Finance;Colombia;Level 1;0;0.4;0.41;6;244;3;0;0;0;low;M;59
Human Resources;UK;Level 1;1;0.4;0.41;2;229;6;0;0;0;medium;F;17
IT;Korea;Level 1;1;0.4;0.41;6;264;3;0;0;0;medium;M;51
Warehouse;France;Level 1;0;0.4;0.41;2;194;2;0;0;0;medium;F;12
Operations;Colombia;Level 1;0;0.4;0.41;3;103;2;0;0;0;high;F;22
Sales;France;Level 1;0;0.4;0.41;4;127;3;0;0;0;low;F;47
Finance;Australia;Level 1;0;0.4;0.41;3;216;6;1;0;0;medium;F;1
Human Resources;Japan;Level 1;0;0.4;0.41;2;146;2;0;0;0;medium;F;50
IT;France;Level 1;1;0.4;0.41;3;231;6;0;0;0;medium;F;4
Warehouse;US;Level 1;1;0.4;0.41;5;286;3;0;0;0;high;F;32
Operations;US;Level 1;0;0.4;0.41;2;148;2;1;0;0;medium;F;28
Sales;France;Level 1;1;0.4;0.41;4;139;3;0;0;0;low;F;11
Finance;Turkey;Level 1;1;0.4;0.41;5;107;4;0;0;0;medium;F;22
Human Resources;US;Level 1;1;0.4;0.41;6;148;4;0;0;0;low;M;25
IT;Colombia;Level 1;0;0.4;0.41;3;138;3;1;0;0;medium;M;38
Warehouse;Turkey;Level 1;1;0.4;0.41;3;283;3;0;0;0;low;M;37
Operations;Turkey;Level 1;1;0.4;0.41;6;114;3;0;0;0;low;F;6
Sales;Korea;Level 1;0;0.4;0.41;5;240;2;0;0;0;medium;M;65
Finance;UK;Level 1;1;0.4;0.41;3;232;3;0;0;0;medium;F;23
Human Resources;China;Level 1;0;0.4;0.41;3;193;2;1;0;0;low;M;9
IT;US;VP;0;0.4;0.41;6;142;3;0;0;0;medium;F;44
Warehouse;Korea;Senior Director;1;0.4;0.41;2;164;4;0;0;0;medium;M;65
Operations;Korea;Senior Director;1;0.4;0.41;2;140;3;0;0;0;medium;F;63
Sales;Australia;Senior Director;1;0.4;0.41;6;101;3;0;0;0;low;M;1
Finance;China;Director;0;0.4;0.41;3;219;3;1;0;0;low;M;48
Human Resources;Japan;Director;1;0.4;0.41;5;196;4;0;0;0;low;M;1
IT;China;Director;0;0.4;0.41;3;180;5;1;0;0;medium;M;38
Warehouse;Japan;Director;1;0.4;0.41;3;175;3;0;0;0;medium;F;2
Operations;France;Director;1;0.4;0.41;5;152;3;0;0;0;medium;M;50
Sales;UK;Director;0;0.4;0.41;2;113;3;0;0;1;medium;F;18
Finance;China;Senior Manager;1;0.4;0.41;5;135;6;0;0;0;medium;M;17
Human Resources;China;Senior Manager;0;0.4;0.41;3;125;7;0;0;0;medium;M;50
IT;France;Senior Manager;0;0.4;0.41;3;167;10;0;0;0;low;F;30
Warehouse;France;Senior Manager;1;0.4;0.41;2;198;4;0;0;0;medium;M;51
Operations;Australia;Senior Manager;0;0.4;0.41;3;175;3;0;0;0;medium;F;49
Sales;China;Senior Manager;0;0.4;0.41;5;152;3;0;0;0;medium;M;45
Finance;Colombia;Senior Manager;1;0.4;0.41;2;113;3;0;0;1;medium;F;48
Human Resources;Colombia;Senior Manager;1;0.4;0.41;5;135;6;0;0;0;medium;M;11
IT;Australia;Senior Manager;0;0.4;0.41;3;125;7;0;0;0;medium;M;4
Warehouse;UK;Senior Manager;0;0.4;0.41;3;167;10;0;0;0;low;F;7
Operations;Japan;Senior Manager;1;0.4;0.41;2;198;4;0;0;0;medium;M;40
Sales;US;Senior Manager;0;0.4;0.42;2;99;4;0;0;0;low;F;57
Finance;France;Manager;0;0.4;0.42;4;159;4;0;0;0;medium;F;6
Human Resources;UK;Manager;0;0.4;0.42;6;220;2;0;0;0;low;F;4
IT;Korea;Manager;1;0.4;0.42;6;101;4;0;0;0;medium;M;58
Warehouse;Turkey;Manager;0;0.4;0.42;5;283;5;0;0;0;low;M;56
Operations;US;Manager;1;0.4;0.42;2;142;3;1;0;0;medium;M;6
Sales;Turkey;Manager;0;0.4;0.42;4;269;4;1;0;0;medium;F;10
Finance;UK;Manager;1;0.4;0.42;6;253;3;0;0;0;medium;M;12
Human Resources;UK;Manager;0;0.4;0.42;2;124;2;0;0;0;low;M;1
IT;UK;Manager;1;0.4;0.42;3;206;5;0;0;0;high;M;1
Warehouse;China;Manager;0;0.4;0.42;3;138;3;1;0;0;medium;F;21
Operations;Turkey;Manager;1;0.4;0.42;5;252;5;0;0;0;low;F;60
Sales;Japan;Manager;1;0.4;0.42;4;238;3;0;0;0;medium;M;62
Finance;UK;Manager;0;0.4;0.42;3;196;3;0;0;0;low;F;48
Human Resources;Australia;Manager;1;0.4;0.42;5;226;3;0;0;0;low;M;6
IT;US;Manager;0;0.4;0.42;2;192;2;0;0;0;low;M;44
Warehouse;UK;Manager;1;0.4;0.42;4;154;5;0;0;0;high;M;51
Operations;France;Manager;0;0.4;0.42;3;189;2;1;0;0;medium;M;25
Sales;Australia;Manager;1;0.4;0.42;4;98;2;0;0;0;low;M;62
Finance;US;Manager;0;0.4;0.42;2;169;5;0;0;0;low;F;18
Human Resources;Turkey;Manager;1;0.4;0.42;3;178;3;0;0;0;high;M;43
IT;Turkey;Manager;1;0.4;0.42;2;248;4;0;0;0;medium;M;15
Warehouse;Korea;Manager;1;0.4;0.42;2;199;2;0;0;0;medium;F;3
Operations;Australia;Level 2-4;0;0.4;0.42;6;114;3;0;0;0;medium;M;15
Sales;France;Level 2-4;1;0.4;0.42;2;266;3;0;0;0;low;M;51
Finance;Japan;Level 2-4;0;0.4;0.42;2;127;4;0;0;0;medium;F;31
Human Resources;Turkey;Level 2-4;0;0.4;0.42;3;131;3;0;0;0;medium;F;64
IT;China;Level 2-4;0;0.4;0.42;3;110;2;0;0;0;medium;M;28
Warehouse;Korea;Level 2-4;0;0.4;0.42;3;146;2;1;0;0;medium;F;15
Operations;France;Level 2-4;1;0.4;0.42;4;140;2;0;0;0;low;F;26
Sales;UK;Level 2-4;0;0.4;0.42;3;98;3;0;0;0;low;M;19
Finance;UK;Level 2-4;0;0.4;0.42;6;287;5;1;0;0;low;F;52
Human Resources;France;Level 2-4;0;0.4;0.42;3;217;2;0;0;0;low;F;33
